Rank,Representative,Party,District,Birth Date,Seniority Date,End Date,Death,Midterm Resign,Retired,Other Office,Defeated In Primary,Defeated In General,Reelected,Status
,John Dingell,D,Michigan?12,"July 8, 1926","December 13, 1955","January 3, 2015",,,1,,,,0,3
,John Conyers,D,Michigan?13,"May 16, 1929","January 3, 1965","December 5, 2017",,1,,,,,0,2
,Charles Rangel,D,New York?13,"June 11, 1930","January 3, 1971","January 3, 2017",,,1,,,,0,3
,Bill Young,R,Florida?13,"December 16, 1930","January 3, 1971","October 18, 2013",,1,,,,,0,2
1,Don Young,R,Alaska?AL,"June 9, 1933","March 6, 1973","March 18, 2022",1,,,,,,0,1
,Henry Waxman,D,California?33,"September 12, 1939","January 3, 1975","January 3, 2015",,,1,,,,0,3
,George Miller,D,California?11,"May 17, 1945","January 3, 1975","January 3, 2015",,,1,,,,0,3
,Ed Markey,D,Massachusetts?5,"July 11, 1946","November 2, 1976","July 15, 2013",,,,1,,,0,4
,Nick Rahall,D,West Virginia?3,"May 20, 1949","January 3, 1977","January 3, 2015",,,,,,1,0,6
,Jim Sensenbrenner,R,Wisconsin?5,"June 14, 1943","January 3, 1979","January 3, 2021",,,1,,,,0,3
,Tom Petri,R,Wisconsin?6,"May 28, 1940","April 3, 1979","January 3, 2015",,,1,,,,0,3
,Ralph Hall,R,Texas?4,"May 3, 1923","January 3, 1981","January 3, 2015",,,,,1,,0,5
,Frank Wolf,R,Virginia?10,"January 30, 1939","January 3, 1981","January 3, 2015",,,1,,,,0,3
2,Hal Rogers,R,Kentucky?5,"December 31, 1937","January 3, 1981",,,,,,,,1,0
3,Chris Smith,R,New Jersey?4,"March 4, 1953","January 3, 1981",,,,,,,,1,0
4,Steny Hoyer,D,Maryland?5,"June 14, 1939","May 19, 1981",,,,,,,,1,0
,Sander Levin,D,Michigan?9,"September 6, 1931","January 3, 1983","January 3, 2019",,,1,,,,0,3
5,Marcy Kaptur,D,Ohio?9,"June 17, 1946","January 3, 1983",,,,,,,,1,0
,Howard Coble,R,North Carolina?6,"March 18, 1931","January 3, 1985","January 3, 2015",,,1,,,,0,3
,Lamar Smith,R,Texas?21,"November 19, 1947","January 3, 1985","January 3, 2019",,,1,,,,0,3
,Joe Barton,R,Texas?6,"September 15, 1949","January 3, 1985","January 3, 2019",,,1,,,,0,3
,Pete Visclosky,D,Indiana?1,"August 13, 1949","January 3, 1985","January 3, 2021",,,1,,,,0,3
,Louise Slaughter,D,New York?25,"August 14, 1929","January 3, 1985","January 3, 2019",1,,,,,,0,1
6,Peter DeFazio,D,Oregon?4,"May 27, 1947","January 3, 1987",,,,1,,,,0,3
7,Fred Upton,R,Michigan?6,"April 23, 1953","January 3, 1987",,,,1,,,,0,3
,John Lewis,D,Georgia?5,"February 21, 1940","January 3, 1987","July 17, 2020",,1,,,,,0,2
8,Nancy Pelosi,D,California?12,"March 26, 1940","June 2, 1987",,,,,,,,1,0
,Dana Rohrabacher,R,California?48,"June 21, 1947","November 8, 1988","January 3, 2019",,,,,,1,0,6
