Representative,Time,Age,Congress Number,Original Legislative Efficiency,Modified Legislative Efficiency
John Dingell,1955-12-13,29.43189596,84,2,2
John Dingell,1957-01-03,30.49144422,85,2,2
John Dingell,1959-01-03,32.49007529,86,2,2
John Dingell,1961-01-03,34.49144422,87,2,2
John Dingell,1963-01-03,36.49007529,88,2,2
John Dingell,1965-01-03,38.49144422,89,2,2
John Dingell,1967-01-03,40.49007529,90,2,2
John Dingell,1969-01-03,42.49144422,91,2,2
John Dingell,1971-01-03,44.49007529,92,2,2
John Dingell,1973-01-03,46.49144422,93,2,2
John Dingell,1975-01-03,48.49007529,94,3,3
John Dingell,1977-01-03,50.49144422,95,2,2
John Dingell,1979-01-03,52.49007529,96,2,2
John Dingell,1981-01-03,54.49144422,97,1,1
John Dingell,1983-01-03,56.49007529,98,2,2
John Dingell,1985-01-03,58.49144422,99,1,1
John Dingell,1987-01-03,60.49007529,100,2,2
John Dingell,1989-01-03,62.49144422,101,2,2
John Dingell,1991-01-03,64.49007529,102,2,2
John Dingell,1993-01-03,66.49144422,103,2,2
John Dingell,1995-01-03,68.49007529,104,1,1
John Dingell,1997-01-03,70.49144422,105,2,2
John Dingell,1999-01-03,72.49007529,106,1,1
John Dingell,2001-01-03,74.49144422,107,2,2
John Dingell,2003-01-03,76.49007529,108,2,2
John Dingell,2005-01-03,78.49144422,109,2,2
John Dingell,2007-01-03,80.49007529,110,2,2
John Dingell,2009-01-03,82.49144422,111,3,3
John Dingell,2011-01-03,84.49007529,112,1,1
John Dingell,2013-01-03,86.49144422,113,1,1
John Conyers,1965-01-03,35.63586585,96,1,1
John Conyers,1967-01-03,37.63449692,96,1,1
John Conyers,1969-01-03,39.63586585,96,1,1
John Conyers,1971-01-03,41.63449692,96,1,1
John Conyers,1973-01-03,43.63586585,96,1,1
John Conyers,1975-01-03,45.63449692,96,1,1
John Conyers,1977-01-03,47.63586585,96,1,1
John Conyers,1979-01-03,49.63449692,96,1,1
John Conyers,1981-01-03,51.63586585,97,1,1
John Conyers,1983-01-03,53.63449692,98,3,3
John Conyers,1985-01-03,55.63586585,99,3,3
John Conyers,1987-01-03,57.63449692,100,2,2
John Conyers,1989-01-03,59.63586585,101,2,2
John Conyers,1991-01-03,61.63449692,102,2,2
John Conyers,1993-01-03,63.63586585,103,2,2
John Conyers,1995-01-03,65.63449692,104,3,3
John Conyers,1997-01-03,67.63586585,105,2,2
John Conyers,1999-01-03,69.63449692,106,2,2
John Conyers,2001-01-03,71.63586585,107,1,1
John Conyers,2003-01-03,73.63449692,108,1,1
John Conyers,2005-01-03,75.63586585,109,1,1
John Conyers,2007-01-03,77.63449692,110,2,2
John Conyers,2009-01-03,79.63586585,111,2,2
John Conyers,2011-01-03,81.63449692,112,3,3
John Conyers,2013-01-03,83.63586585,113,1,1
John Conyers,2015-01-03,85.63449692,114,2,2
John Conyers,2017-01-03,87.63586585,115,2,2
Charles Rangel,1971-01-03,40.56399726,92,2,2
Charles Rangel,1973-01-03,42.56536619,93,2,2
Charles Rangel,1975-01-03,44.56399726,94,3,3
Charles Rangel,1977-01-03,46.56536619,95,3,3
Charles Rangel,1979-01-03,48.56399726,96,2,2
Charles Rangel,1981-01-03,50.56536619,97,2,2
Charles Rangel,1983-01-03,52.56399726,98,1,1
Charles Rangel,1985-01-03,54.56536619,99,1,1
Charles Rangel,1987-01-03,56.56399726,100,1,1
Charles Rangel,1989-01-03,58.56536619,101,1,1
Charles Rangel,1991-01-03,60.56399726,102,2,2
Charles Rangel,1993-01-03,62.56536619,103,1,1
Charles Rangel,1995-01-03,64.56399726,104,1,1
Charles Rangel,1997-01-03,66.56536619,105,2,2
Charles Rangel,1999-01-03,68.56399726,106,3,3
Charles Rangel,2001-01-03,70.56536619,107,1,1
Charles Rangel,2003-01-03,72.56399726,108,2,2
Charles Rangel,2005-01-03,74.56536619,109,2,2
Charles Rangel,2007-01-03,76.56399726,110,3,3
Charles Rangel,2009-01-03,78.56536619,111,3,3
Charles Rangel,2011-01-03,80.56399726,112,1,1
Charles Rangel,2013-01-03,82.56536619,113,2,2
Charles Rangel,2015-01-03,84.56399726,114,1,1
