Dist,Urb_Idx
AK-AL,0
AL-01,1
AL-02,0
AL-03,0
AL-04,0
AL-05,1
AL-06,1
AL-07,1
AR-01,0
AR-02,1
AR-03,1
AR-04,0
AZ-01,0
AZ-02,3
AZ-03,3
AZ-04,1
AZ-05,3
AZ-06,3
AZ-07,4
AZ-08,3
AZ-09,4
CA-01,1
CA-02,1
CA-03,1
CA-04,1
CA-05,3
CA-06,4
CA-07,3
CA-08,1
CA-09,3
CA-10,3
CA-11,4
CA-12,5
CA-13,5
CA-14,4
CA-15,4
CA-16,3
CA-17,5
CA-18,4
CA-19,4
CA-20,4
CA-21,1
CA-22,3
CA-23,3
CA-24,2
CA-25,3
CA-26,3
CA-27,4
CA-28,5
CA-29,5
CA-30,4
CA-31,3
CA-32,4
CA-33,4
CA-34,5
CA-35,4
CA-36,3
CA-37,5
CA-38,5
CA-39,3
CA-40,5
CA-41,3
CA-42,2
CA-43,5
CA-44,5
CA-45,4
CA-46,5
CA-47,5
CA-48,4
CA-49,3
CA-50,3
CA-51,4
CA-52,4
CA-53,4
CO-01,4
CO-02,2
CO-03,0
CO-04,1
CO-05,3
CO-06,3
CO-07,3
CT-01,2
CT-02,1
CT-03,2
CT-04,2
CT-05,2
DE-AL,2
FL-01,1
FL-02,1
FL-03,0
FL-04,2
FL-05,2
FL-06,2
FL-07,2
FL-08,2
FL-09,2
FL-10,2
FL-11,1
FL-12,2
FL-13,3
FL-14,3
FL-15,2
FL-16,2
FL-17,1
FL-18,2
FL-19,2
FL-20,4
FL-21,3
FL-22,3
FL-23,4
FL-24,4
FL-25,4
FL-26,4
FL-27,4
GA-01,1
GA-02,1
GA-03,1
GA-04,2
GA-05,3
GA-06,3
GA-07,2
GA-08,0
GA-09,0
GA-10,0
GA-11,2
GA-12,0
GA-13,2
GA-14,1
HI-01,4
HI-02,1
IA-01,1
IA-02,1
IA-03,2
IA-04,0
ID-01,1
ID-02,1
IL-01,4
IL-02,3
IL-03,4
IL-04,5
IL-05,5
IL-06,2
IL-07,5
IL-08,3
IL-09,4
IL-10,2
IL-11,3
IL-12,1
IL-13,1
IL-14,2
IL-15,0
IL-16,1
IL-17,1
IL-18,1
IN-01,2
IN-02,1
IN-03,1
IN-04,1
IN-05,2
IN-06,0
IN-07,3
IN-08,1
IN-09,1
KS-01,0
KS-02,0
KS-03,3
KS-04,2
KY-01,0
KY-02,0
KY-03,3
KY-04,1
KY-05,0
KY-06,1
LA-01,1
LA-02,3
LA-03,1
LA-04,0
LA-05,0
LA-06,1
MA-01,2
MA-02,1
MA-03,2
MA-04,2
MA-05,4
MA-06,2
MA-07,5
MA-08,3
MA-09,2
MD-01,1
MD-02,3
MD-03,3
MD-04,3
MD-05,2
MD-06,2
MD-07,4
MD-08,3
ME-01,1
ME-02,0
MI-01,0
MI-02,1
MI-03,1
MI-04,0
MI-05,2
MI-06,1
MI-07,0
MI-08,2
MI-09,3
MI-10,1
MI-11,2
MI-12,3
MI-13,3
MI-14,3
